Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -35.73643	               0
1.2500000000000e+000	      -0.7095227	        3.533573
2.5000000000000e+000	      -0.7909975	        1.594079
3.7500000000000e+000	      -0.8014975	       0.9570872
5.0000000000000e+000	      -0.8012318	        0.627573
6.2500000000000e+000	       -0.792524	       0.4297398
7.5000000000000e+000	      -0.7763371	       0.3089027
8.7500000000000e+000	      -0.7489027	       0.2472672
1.0000000000000e+001	      -0.6984863	       0.1821778
1.1250000000000e+001	      -0.6352494	       0.1168777
1.2500000000000e+001	      -0.5696896	      0.03784814
1.3750000000000e+001	      -0.5086769	     -0.03140372
1.5000000000000e+001	      -0.4538028	     -0.09662741
1.6250000000000e+001	      -0.4050177	      -0.1479116
1.7500000000000e+001	      -0.3623464	      -0.1932665
1.8750000000000e+001	      -0.3252767	      -0.2364615
2.0000000000000e+001	       -0.291747	      -0.2729307
2.1250000000000e+001	      -0.2637026	      -0.3028588
2.2500000000000e+001	      -0.2376465	      -0.3221975
2.3750000000000e+001	      -0.2122639	      -0.3258081
2.5000000000000e+001	      -0.1841108	       -0.306567
2.6250000000000e+001	      -0.1485503	      -0.2795952
2.7500000000000e+001	      -0.1084943	        -0.24887
2.8750000000000e+001	     -0.06715353	      -0.2254174
3.0000000000000e+001	     -0.02788765	      -0.2044552
3.1250000000000e+001	     0.008833514	       -0.183902
3.2500000000000e+001	      0.04371873	      -0.1656448
3.3750000000000e+001	      0.07236574	      -0.1463712
3.5000000000000e+001	      0.09668038	      -0.1282209
3.6250000000000e+001	       0.1161418	      -0.1066809
3.7500000000000e+001	       0.1320627	     -0.08871999
3.8750000000000e+001	       0.1428808	     -0.07016274
4.0000000000000e+001	       0.1471918	      -0.0518552
4.1250000000000e+001	       0.1455765	     -0.03201615
4.2500000000000e+001	       0.1432144	     -0.01132588
4.3750000000000e+001	       0.1349603	     0.007477858
4.5000000000000e+001	       0.1231397	      0.02620014
4.6250000000000e+001	        0.112793	      0.04268718
4.7500000000000e+001	       0.1010396	      0.05728856
4.8750000000000e+001	      0.09017512	      0.06845275
5.0000000000000e+001	      0.07960983	      0.07879484
5.1250000000000e+001	       0.0688533	      0.08715882
5.2500000000000e+001	      0.05872815	      0.09461957
5.3750000000000e+001	      0.04859624	        0.102601
5.5000000000000e+001	      0.03678137	       0.1059609
5.6250000000000e+001	        0.030804	       0.1089061
5.7500000000000e+001	      0.03846955	       0.1025875
5.8750000000000e+001	      0.08256731	      0.07229368
6.0000000000000e+001	       0.1779496	      -0.2086031
6.1250000000000e+001	      -0.3014035	      0.03425628
6.2500000000000e+001	      -0.1689303	      0.09165504
6.3750000000000e+001	      -0.1351739	      0.08500256
6.5000000000000e+001	      -0.1222556	      0.07196204
6.6250000000000e+001	      -0.1190201	      0.05480795
6.7500000000000e+001	      -0.1172132	      0.03713725
6.8750000000000e+001	      -0.1182416	      0.02058587
