Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        130.4967	               0
1.2500000000000e+000	          2.3506	       -13.99041
2.5000000000000e+000	        2.486478	       -6.448394
3.7500000000000e+000	        2.517853	        -3.91243
5.0000000000000e+000	        2.491307	       -2.556335
6.2500000000000e+000	        2.404965	       -1.619079
7.5000000000000e+000	        2.534982	       -1.084942
8.7500000000000e+000	        2.419231	      -0.6321121
1.0000000000000e+001	        2.306108	      -0.2430064
1.1250000000000e+001	        2.203812	      0.06096004
1.2500000000000e+001	        2.047566	        0.309619
1.3750000000000e+001	         1.90511	       0.5135548
1.5000000000000e+001	        1.760865	       0.7017164
1.6250000000000e+001	        1.565741	       0.8076422
1.7500000000000e+001	        1.401887	       0.9213003
1.8750000000000e+001	        1.238287	       0.9745426
2.0000000000000e+001	        1.043311	        1.042501
2.1250000000000e+001	       0.8876331	        1.119907
2.2500000000000e+001	       0.7354966	        1.161065
2.3750000000000e+001	        0.574566	        1.217517
2.5000000000000e+001	       0.4218873	        1.244697
2.6250000000000e+001	       0.2890889	        1.282905
2.7500000000000e+001	       0.1673326	         1.27868
2.8750000000000e+001	      0.04907197	        1.250565
3.0000000000000e+001	     -0.06953347	        1.176294
3.1250000000000e+001	      -0.1814754	        1.083877
3.2500000000000e+001	      -0.2638153	       0.9581144
3.3750000000000e+001	      -0.3576085	       0.8109149
3.5000000000000e+001	      -0.4320732	       0.6890209
3.6250000000000e+001	       -0.490507	         0.55363
3.7500000000000e+001	      -0.5388373	       0.4349205
3.8750000000000e+001	      -0.5778511	        0.320595
4.0000000000000e+001	       -0.613323	       0.2153105
4.1250000000000e+001	      -0.6322579	       0.1226708
4.2500000000000e+001	      -0.6468264	      0.03128077
4.3750000000000e+001	       -0.648498	     -0.05397035
4.5000000000000e+001	      -0.6480933	      -0.1335143
4.6250000000000e+001	      -0.6519517	      -0.1902671
4.7500000000000e+001	      -0.6334456	      -0.2555696
4.8750000000000e+001	       -0.633416	      -0.3168709
5.0000000000000e+001	      -0.6956065	      -0.3720243
5.1250000000000e+001	      -0.6577649	      -0.3790318
5.2500000000000e+001	      -0.7013421	      -0.4155725
5.3750000000000e+001	      -0.8034825	      -0.3966611
5.5000000000000e+001	       -0.947601	      -0.3840814
5.6250000000000e+001	         -1.2609	      -0.3388626
5.7500000000000e+001	       -1.916864	       -0.127731
5.8750000000000e+001	       -3.855943	         1.02902
6.0000000000000e+001	        2.309003	        11.53231
6.1250000000000e+001	        3.740115	       0.8851045
6.2500000000000e+001	        2.318843	       0.1710725
6.3750000000000e+001	        1.815779	      0.00863367
6.5000000000000e+001	        1.555593	     -0.07698958
6.6250000000000e+001	        1.320918	      -0.1020498
6.7500000000000e+001	        1.263389	     -0.00851607
6.8750000000000e+001	        1.186636	    -0.004386622
7.0000000000000e+001	        1.129118	      0.03147833
7.1250000000000e+001	        1.086333	      0.07662766
