Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        128.9169	               0
1.2500000000000e+000	         1.77292	       -12.84064
2.5000000000000e+000	        2.170076	       -5.906211
3.7500000000000e+000	        2.273622	       -3.560174
5.0000000000000e+000	        2.242113	       -2.342248
6.2500000000000e+000	        2.182776	       -1.546995
7.5000000000000e+000	        2.238297	       -1.027844
8.7500000000000e+000	         2.12662	      -0.6486244
1.0000000000000e+001	        2.010739	      -0.3421566
1.1250000000000e+001	        1.868938	     -0.08621366
1.2500000000000e+001	        1.733139	       0.1426632
1.3750000000000e+001	        1.578259	       0.3326929
1.5000000000000e+001	        1.409477	       0.5008172
1.6250000000000e+001	        1.237273	       0.6308151
1.7500000000000e+001	        1.059591	       0.7629014
1.8750000000000e+001	       0.8859157	       0.8390611
2.0000000000000e+001	       0.7216462	         0.90821
2.1250000000000e+001	       0.5646009	       0.9382493
2.2500000000000e+001	       0.4083249	       0.9574364
2.3750000000000e+001	        0.267685	       0.9708072
2.5000000000000e+001	       0.1459849	       0.9552128
2.6250000000000e+001	      0.02076787	       0.9102929
2.7500000000000e+001	      -0.1006986	       0.8681213
2.8750000000000e+001	      -0.2164172	       0.8115109
3.0000000000000e+001	      -0.3457251	       0.7532273
3.1250000000000e+001	      -0.4145769	       0.6810461
3.2500000000000e+001	      -0.5184309	       0.5827986
3.3750000000000e+001	      -0.6262866	       0.4866516
3.5000000000000e+001	      -0.6951704	       0.3945852
3.6250000000000e+001	      -0.7635843	       0.2935427
3.7500000000000e+001	      -0.8125327	       0.2016281
3.8750000000000e+001	      -0.8810543	       0.1261569
4.0000000000000e+001	      -0.9025411	      0.07985469
4.1250000000000e+001	      -0.9209924	      0.02670703
4.2500000000000e+001	      -0.9145271	     0.004787142
4.3750000000000e+001	      -0.8946847	      -0.0340308
4.5000000000000e+001	      -0.8393207	      -0.0669431
4.6250000000000e+001	      -0.7878183	      -0.1322667
4.7500000000000e+001	      -0.7337047	      -0.2024292
4.8750000000000e+001	      -0.6870677	      -0.2606651
5.0000000000000e+001	      -0.6846678	      -0.2973011
5.1250000000000e+001	      -0.6324596	      -0.3324166
5.2500000000000e+001	      -0.6212387	      -0.3504512
5.3750000000000e+001	      -0.6521759	      -0.3407426
5.5000000000000e+001	      -0.6926928	      -0.3160176
5.6250000000000e+001	      -0.8368425	      -0.2624198
5.7500000000000e+001	       -1.148149	      -0.1175812
5.8750000000000e+001	       -1.930382	       0.3733789
6.0000000000000e+001	       -3.471327	        4.775105
6.1250000000000e+001	        3.875375	       0.9573171
6.2500000000000e+001	        2.010212	     -0.07472265
6.3750000000000e+001	         1.47576	       -0.162885
6.5000000000000e+001	        1.236674	      -0.1856632
6.6250000000000e+001	        1.071427	      -0.1564081
6.7500000000000e+001	       0.9625522	      -0.1054802
6.8750000000000e+001	       0.8999062	      -0.0557387
