Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        147.7395	               0
1.2500000000000e+000	        2.205464	       -12.05663
2.5000000000000e+000	        2.744072	       -5.326122
3.7500000000000e+000	         2.85041	       -3.062216
5.0000000000000e+000	        2.875296	       -1.811101
6.2500000000000e+000	         2.80798	       -0.935824
7.5000000000000e+000	        2.925755	      -0.3812283
8.7500000000000e+000	        2.902531	      0.05278142
1.0000000000000e+001	        2.937673	       0.3077738
1.1250000000000e+001	        2.885127	       0.4437549
1.2500000000000e+001	        2.774453	       0.5296469
1.3750000000000e+001	        2.509092	       0.6108178
1.5000000000000e+001	        2.184967	       0.7384399
1.6250000000000e+001	        1.842714	       0.8966504
1.7500000000000e+001	        1.528289	        1.055679
1.8750000000000e+001	        1.255067	        1.193457
2.0000000000000e+001	       0.9905487	        1.310373
2.1250000000000e+001	       0.7753664	        1.406721
2.2500000000000e+001	       0.5961164	        1.456382
2.3750000000000e+001	       0.4463433	        1.488033
2.5000000000000e+001	       0.3145231	        1.448195
2.6250000000000e+001	       0.1902874	        1.411794
2.7500000000000e+001	      0.03140366	         1.31081
2.8750000000000e+001	      -0.1417271	        1.210883
3.0000000000000e+001	      -0.3262938	        1.089179
3.1250000000000e+001	      -0.4627336	       0.9804031
3.2500000000000e+001	      -0.6223096	       0.8300739
3.3750000000000e+001	      -0.7550775	       0.7077298
3.5000000000000e+001	      -0.8713918	       0.5725908
3.6250000000000e+001	      -0.9770831	       0.4499828
3.7500000000000e+001	       -1.050096	       0.3586201
3.8750000000000e+001	       -1.098572	       0.2762372
4.0000000000000e+001	       -1.128329	       0.2070908
4.1250000000000e+001	       -1.121328	       0.1416141
4.2500000000000e+001	       -1.075286	      0.06215186
4.3750000000000e+001	       -1.038865	     -0.04175946
4.5000000000000e+001	      -0.9908702	      -0.1444454
4.6250000000000e+001	      -0.9330261	      -0.2351136
4.7500000000000e+001	        -0.88253	       -0.341184
4.8750000000000e+001	      -0.8287137	      -0.4228525
5.0000000000000e+001	       -0.786079	      -0.5101148
5.1250000000000e+001	       -0.783303	      -0.5544527
5.2500000000000e+001	      -0.7966896	      -0.5991104
5.3750000000000e+001	      -0.8686803	      -0.5980915
5.5000000000000e+001	       -0.988777	      -0.6020857
5.6250000000000e+001	       -1.283727	      -0.5494216
5.7500000000000e+001	       -1.977916	      -0.3306724
5.8750000000000e+001	       -3.896023	       0.9473414
6.0000000000000e+001	        3.263499	        12.08647
6.1250000000000e+001	        4.123313	       0.2207158
6.2500000000000e+001	        2.540322	      -0.4067984
6.3750000000000e+001	        1.963033	      -0.4926785
6.5000000000000e+001	         1.67974	      -0.4945553
6.6250000000000e+001	        1.457012	      -0.4416741
6.7500000000000e+001	        1.390256	      -0.3830787
6.8750000000000e+001	        1.286201	      -0.3201548
7.0000000000000e+001	        1.216937	      -0.2433538
7.1250000000000e+001	        1.154165	      -0.1799629
