Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        107.6963	               0
1.2500000000000e+000	        0.707018	       -4.969561
2.5000000000000e+000	        1.192415	       -2.208649
3.7500000000000e+000	        1.242583	       -1.215888
5.0000000000000e+000	        1.235834	      -0.6902247
6.2500000000000e+000	        1.156967	      -0.3109786
7.5000000000000e+000	        1.247319	     -0.08863292
8.7500000000000e+000	        1.152497	      0.03646445
1.0000000000000e+001	        1.125198	      0.08175473
1.1250000000000e+001	        1.113594	      0.09437888
1.2500000000000e+001	        1.092556	       0.1104487
1.3750000000000e+001	        1.070805	        0.178763
1.5000000000000e+001	       0.9822519	       0.2655596
1.6250000000000e+001	       0.8736033	       0.3912185
1.7500000000000e+001	       0.7569795	       0.4999719
1.8750000000000e+001	       0.6089832	       0.5932665
2.0000000000000e+001	       0.4887195	       0.6529244
2.1250000000000e+001	       0.3554853	       0.6803963
2.2500000000000e+001	       0.2228781	       0.6843333
2.3750000000000e+001	       0.1553332	       0.7368048
2.5000000000000e+001	       0.1258538	       0.6980798
2.6250000000000e+001	       0.1439907	       0.6934337
2.7500000000000e+001	        0.158169	       0.6945988
2.8750000000000e+001	        0.148416	       0.6442519
3.0000000000000e+001	      0.08334026	       0.5820974
3.1250000000000e+001	      0.01261867	       0.5469291
3.2500000000000e+001	     -0.09016626	       0.4951646
3.3750000000000e+001	      -0.1804901	        0.425935
3.5000000000000e+001	      -0.2463082	       0.3820589
3.6250000000000e+001	      -0.3257742	       0.3154274
3.7500000000000e+001	      -0.3701424	       0.2585174
3.8750000000000e+001	       -0.403948	       0.1988541
4.0000000000000e+001	      -0.4352963	        0.147469
4.1250000000000e+001	      -0.4555001	      0.09347662
4.2500000000000e+001	      -0.4755337	      0.04213779
4.3750000000000e+001	      -0.4960457	    -0.009586581
4.5000000000000e+001	      -0.5042994	     -0.05721183
4.6250000000000e+001	      -0.5032277	      -0.0982103
4.7500000000000e+001	      -0.5161075	      -0.1446205
4.8750000000000e+001	      -0.5222031	      -0.1861928
5.0000000000000e+001	      -0.5880373	      -0.2410732
5.1250000000000e+001	      -0.5838966	      -0.2149079
5.2500000000000e+001	      -0.6462346	      -0.2281798
5.3750000000000e+001	      -0.7583987	        -0.19381
5.5000000000000e+001	      -0.9104657	      -0.1679085
5.6250000000000e+001	       -1.202217	     -0.09986991
5.7500000000000e+001	       -1.808524	      0.09749649
5.8750000000000e+001	       -3.442845	        1.080926
6.0000000000000e+001	       0.7022156	        11.13253
6.1250000000000e+001	         3.41501	       0.8302445
6.2500000000000e+001	        1.997139	       0.1794739
6.3750000000000e+001	        1.528154	      0.05649625
6.5000000000000e+001	         1.27713	     -0.02684319
6.6250000000000e+001	        1.091578	     -0.05711987
6.7500000000000e+001	       0.9761142	     -0.02998298
6.8750000000000e+001	       0.8941529	     -0.01573753
7.0000000000000e+001	        0.822497	     0.006128281
