Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        31.08358	               0
1.2500000000000e+000	        0.278157	       -2.699357
2.5000000000000e+000	       0.4699086	       -1.197232
3.7500000000000e+000	        0.478894	      -0.6927506
5.0000000000000e+000	       0.4385736	      -0.3951827
6.2500000000000e+000	       0.2966475	     -0.05523704
7.5000000000000e+000	       0.7162383	      -0.1921698
8.7500000000000e+000	       0.5768108	       -0.107213
1.0000000000000e+001	       0.5188959	      -0.0174688
1.1250000000000e+001	       0.4911005	      0.01406155
1.2500000000000e+001	       0.4550775	      0.07258692
1.3750000000000e+001	       0.4170369	       0.1158225
1.5000000000000e+001	       0.3847115	       0.1418679
1.6250000000000e+001	       0.3414293	       0.1867269
1.7500000000000e+001	       0.2955512	       0.2145291
1.8750000000000e+001	       0.2278938	       0.2169659
2.0000000000000e+001	       0.1578275	       0.2254366
2.1250000000000e+001	       0.1198449	       0.2217963
2.2500000000000e+001	      0.07385547	       0.2113351
2.3750000000000e+001	      0.03882687	       0.2020001
2.5000000000000e+001	      0.01802926	       0.1891688
2.6250000000000e+001	     0.006332815	       0.1787639
2.7500000000000e+001	     0.006136189	       0.1572881
2.8750000000000e+001	     -0.01180712	       0.1542961
3.0000000000000e+001	     -0.02181571	       0.1506178
3.1250000000000e+001	     -0.01467361	       0.1695469
3.2500000000000e+001	      -0.0500472	       0.1544517
3.3750000000000e+001	     -0.08179552	       0.1606257
3.5000000000000e+001	      -0.1039688	       0.1428752
3.6250000000000e+001	      -0.1444393	       0.1234817
3.7500000000000e+001	      -0.1579696	      0.09438131
3.8750000000000e+001	      -0.1865181	      0.06842181
4.0000000000000e+001	      -0.1982028	      0.02740637
4.1250000000000e+001	      -0.1846789	    -0.006419693
4.2500000000000e+001	      -0.1789566	     -0.03273658
4.3750000000000e+001	      -0.1769368	     -0.04204828
4.5000000000000e+001	        -0.13731	     -0.04941989
4.6250000000000e+001	      -0.1163549	     -0.05000309
4.7500000000000e+001	      -0.1085201	     -0.04185564
4.8750000000000e+001	     -0.08766554	     -0.03638779
5.0000000000000e+001	     -0.07516384	      -0.1108069
5.1250000000000e+001	     -0.08657045	     -0.06238658
5.2500000000000e+001	     -0.07785587	      -0.0674895
5.3750000000000e+001	     -0.07926033	     -0.07359153
5.5000000000000e+001	     -0.08152773	     -0.06996357
5.6250000000000e+001	     -0.09013703	     -0.07120256
5.7500000000000e+001	      -0.1226279	     -0.05535894
5.8750000000000e+001	      -0.2239922	    -0.007702109
6.0000000000000e+001	      -0.5047559	       0.3920802
6.1250000000000e+001	       0.6909508	       0.2803416
6.2500000000000e+001	       0.3727113	     -0.01720492
6.3750000000000e+001	       0.2782027	     -0.05375659
6.5000000000000e+001	       0.2344839	     -0.06732393
6.6250000000000e+001	       0.1996985	     -0.06914821
6.7500000000000e+001	       0.1885944	     -0.05345251
