Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -15.37032	               0
1.2500000000000e+000	      -0.4604535	        2.308902
2.5000000000000e+000	      -0.3644117	        1.058867
3.7500000000000e+000	        -0.35395	       0.6595237
5.0000000000000e+000	      -0.3504146	          0.4416
6.2500000000000e+000	      -0.3539558	       0.3190418
7.5000000000000e+000	       -0.330409	       0.2122533
8.7500000000000e+000	      -0.3177826	       0.1351664
1.0000000000000e+001	      -0.3093127	      0.07959159
1.1250000000000e+001	      -0.2970352	      0.03278284
1.2500000000000e+001	      -0.2751063	    -0.002019011
1.3750000000000e+001	      -0.2591492	     -0.03980986
1.5000000000000e+001	      -0.2443654	     -0.06980462
1.6250000000000e+001	      -0.2240641	     -0.09040066
1.7500000000000e+001	      -0.2026157	      -0.1123323
1.8750000000000e+001	      -0.1801031	       -0.123782
2.0000000000000e+001	      -0.1560408	       -0.138227
2.1250000000000e+001	      -0.1360189	      -0.1490952
2.2500000000000e+001	      -0.1148784	       -0.152956
2.3750000000000e+001	     -0.08612499	      -0.1537504
2.5000000000000e+001	     -0.06311964	       -0.156356
2.6250000000000e+001	     -0.04456767	      -0.1542298
2.7500000000000e+001	     -0.02339592	      -0.1456525
2.8750000000000e+001	    -0.006040749	       -0.139962
3.0000000000000e+001	     0.008981965	      -0.1313612
3.1250000000000e+001	      0.02210258	      -0.1186557
3.2500000000000e+001	      0.03858794	       -0.108268
3.3750000000000e+001	      0.04775435	      -0.0966067
3.5000000000000e+001	      0.06021061	     -0.08214305
3.6250000000000e+001	      0.06309472	     -0.06790235
3.7500000000000e+001	      0.07261956	     -0.05677912
3.8750000000000e+001	       0.0753288	     -0.04416457
4.0000000000000e+001	      0.07806171	     -0.03268082
4.1250000000000e+001	      0.07679924	     -0.01866774
4.2500000000000e+001	       0.0754055	    -0.007908097
4.3750000000000e+001	      0.07351833	     0.004820945
4.5000000000000e+001	      0.07142442	      0.01373459
4.6250000000000e+001	      0.06743921	      0.02368931
4.7500000000000e+001	      0.05907418	      0.03129961
4.8750000000000e+001	      0.05584424	      0.04046996
5.0000000000000e+001	      0.04941643	      0.04752882
5.1250000000000e+001	      0.04060572	      0.04865814
5.2500000000000e+001	      0.03418977	      0.05537081
5.3750000000000e+001	      0.02752861	      0.05688831
5.5000000000000e+001	      0.02231057	      0.05691467
5.6250000000000e+001	      0.02002087	      0.05444212
5.7500000000000e+001	      0.01769103	      0.04943497
5.8750000000000e+001	      0.02538969	      0.03939037
6.0000000000000e+001	       0.0631308	     -0.02934419
6.1250000000000e+001	      -0.1376297	     -0.01173231
6.2500000000000e+001	     -0.08362798	      0.03430148
6.3750000000000e+001	      -0.0683358	       0.0333273
6.5000000000000e+001	     -0.06478103	      0.02596107
6.6250000000000e+001	     -0.06156101	      0.02000647
6.7500000000000e+001	      -0.0605486	      0.01317261
