Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        -230.034	               0
1.2500000000000e+000	       -4.876634	        22.27091
2.5000000000000e+000	       -5.596416	        9.952893
3.7500000000000e+000	       -5.748381	        5.750138
5.0000000000000e+000	       -5.913798	        3.475369
6.2500000000000e+000	       -6.315486	        2.567367
7.5000000000000e+000	       -5.155397	       0.3315105
8.7500000000000e+000	       -5.649101	      -0.4176093
1.0000000000000e+001	        -5.77239	      -0.8982776
1.1250000000000e+001	       -5.619468	       -1.063681
1.2500000000000e+001	       -5.162486	       -1.121512
1.3750000000000e+001	       -4.508712	        -1.28947
1.5000000000000e+001	       -3.875884	        -1.55713
1.6250000000000e+001	       -3.268772	       -1.900881
1.7500000000000e+001	       -2.718524	        -2.25478
1.8750000000000e+001	       -2.198561	        -2.55049
2.0000000000000e+001	       -1.702044	        -2.79266
2.1250000000000e+001	       -1.254275	       -2.911064
2.2500000000000e+001	      -0.8700663	       -2.920416
2.3750000000000e+001	      -0.6055211	       -2.796029
2.5000000000000e+001	      -0.4104681	       -2.597109
2.6250000000000e+001	      -0.2811684	       -2.402427
2.7500000000000e+001	      -0.1500986	       -2.232429
2.8750000000000e+001	     -0.03074104	       -2.076679
3.0000000000000e+001	       0.0232522	       -1.428729
3.1250000000000e+001	       0.8351636	       -1.977941
3.2500000000000e+001	       0.9173838	       -1.859931
3.3750000000000e+001	        1.102736	       -1.686289
3.5000000000000e+001	        1.272624	       -1.466439
3.6250000000000e+001	        1.391234	        -1.21189
3.7500000000000e+001	        1.461557	       -0.930198
3.8750000000000e+001	        1.487987	      -0.6384459
4.0000000000000e+001	          1.4817	      -0.3739747
4.1250000000000e+001	        1.434117	      -0.1246622
4.2500000000000e+001	        1.358902	      0.09570253
4.3750000000000e+001	        1.263541	        0.304417
4.5000000000000e+001	         1.15137	       0.4802248
4.6250000000000e+001	        1.028245	       0.6438689
4.7500000000000e+001	        0.897823	       0.7625226
4.8750000000000e+001	       0.7574524	       0.8706017
5.0000000000000e+001	       0.5951297	       0.9400955
5.1250000000000e+001	       0.4896481	         1.06861
5.2500000000000e+001	       0.3832686	        1.082639
5.3750000000000e+001	       0.2750373	        1.117623
5.5000000000000e+001	        0.227564	         1.14165
5.6250000000000e+001	       0.2435177	        1.138189
5.7500000000000e+001	       0.4153262	        1.049552
5.8750000000000e+001	       0.9658651	       0.7456397
6.0000000000000e+001	        2.447868	        -1.91365
6.1250000000000e+001	       -4.159087	       -0.804632
6.2500000000000e+001	       -2.527547	       0.5869576
6.3750000000000e+001	       -2.070352	       0.6560159
6.5000000000000e+001	        -1.88929	       0.6533595
6.6250000000000e+001	       -1.742215	       0.6274493
6.7500000000000e+001	       -1.620177	       0.5445011
6.8750000000000e+001	       -1.469292	       0.6235225
7.0000000000000e+001	       -1.291337	        0.602561
7.1250000000000e+001	       -1.159743	       0.4890416
