Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -2.257576	               0
1.2500000000000e+000	       -1.668559	       0.8257923
2.5000000000000e+000	       -1.053899	       0.8291265
3.7500000000000e+000	      -0.7699801	       0.6426119
5.0000000000000e+000	      -0.6397033	       0.4875426
6.2500000000000e+000	      -0.5675176	       0.3624698
7.5000000000000e+000	      -0.5287721	       0.2780223
8.7500000000000e+000	      -0.4869838	       0.2087107
1.0000000000000e+001	      -0.4554719	       0.1518649
1.1250000000000e+001	      -0.4213167	       0.1011917
1.2500000000000e+001	      -0.3870544	      0.05748475
1.3750000000000e+001	      -0.3558933	      0.01667408
1.5000000000000e+001	      -0.3265295	     -0.02053318
1.6250000000000e+001	      -0.2945553	     -0.04969753
1.7500000000000e+001	      -0.2621428	     -0.08019908
1.8750000000000e+001	      -0.2290822	      -0.1065123
2.0000000000000e+001	      -0.2004793	      -0.1291126
2.1250000000000e+001	      -0.1673721	       -0.148935
2.2500000000000e+001	      -0.1370195	      -0.1656542
2.3750000000000e+001	      -0.1057977	      -0.1780441
2.5000000000000e+001	     -0.07357641	      -0.1878202
2.6250000000000e+001	     -0.04227211	      -0.1941294
2.7500000000000e+001	     -0.01170365	      -0.1955582
2.8750000000000e+001	      0.01851436	      -0.1924195
3.0000000000000e+001	      0.04390253	      -0.1872868
3.1250000000000e+001	      0.06909942	      -0.1753984
3.2500000000000e+001	      0.09010889	      -0.1608579
3.3750000000000e+001	       0.1075906	       -0.140897
3.5000000000000e+001	       0.1208691	       -0.122447
3.6250000000000e+001	       0.1278029	       -0.102784
3.7500000000000e+001	       0.1321624	     -0.07997522
3.8750000000000e+001	       0.1346305	     -0.05807276
4.0000000000000e+001	       0.1357208	     -0.03595346
4.1250000000000e+001	       0.1332773	     -0.01399453
4.2500000000000e+001	       0.1300455	     0.004833923
4.3750000000000e+001	       0.1234151	      0.02450885
4.5000000000000e+001	       0.1144549	      0.04300255
4.6250000000000e+001	       0.1041882	      0.05834933
4.7500000000000e+001	      0.09115878	      0.07238894
4.8750000000000e+001	      0.07740431	      0.08358242
5.0000000000000e+001	      0.06180225	      0.09200589
5.1250000000000e+001	      0.04647838	      0.09833625
5.2500000000000e+001	      0.03072079	       0.1014114
5.3750000000000e+001	      0.01668488	       0.1020576
5.5000000000000e+001	     0.003708056	      0.09906008
5.6250000000000e+001	    -0.007961646	      0.09344673
5.7500000000000e+001	     -0.01742303	       0.0865254
5.8750000000000e+001	     -0.02072958	      0.07686073
6.0000000000000e+001	     -0.01391057	      0.04631601
6.1250000000000e+001	     -0.09351035	      0.04302391
6.2500000000000e+001	     -0.07790866	      0.05459417
6.3750000000000e+001	     -0.07606129	      0.04772442
6.5000000000000e+001	     -0.07778314	      0.03754928
6.6250000000000e+001	     -0.07928123	       0.0283051
6.7500000000000e+001	     -0.08041029	      0.01789301
