Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        27.66736	               0
1.2500000000000e+000	      0.09043816	       -1.450605
2.5000000000000e+000	       0.2144281	      -0.6969971
3.7500000000000e+000	       0.2277436	      -0.4166557
5.0000000000000e+000	       0.2382471	      -0.2996862
6.2500000000000e+000	       0.1768113	        -0.17075
7.5000000000000e+000	       0.3205251	      -0.1303986
8.7500000000000e+000	       0.2878562	     -0.09657379
1.0000000000000e+001	       0.2785915	     -0.05595884
1.1250000000000e+001	       0.2677713	     -0.01188068
1.2500000000000e+001	       0.2464358	      0.02216048
1.3750000000000e+001	       0.2342115	        0.040828
1.5000000000000e+001	       0.2137849	      0.06451695
1.6250000000000e+001	       0.1759412	      0.06812227
1.7500000000000e+001	       0.1595042	      0.08067521
1.8750000000000e+001	       0.1437385	      0.09806364
2.0000000000000e+001	       0.1352971	      0.08322242
2.1250000000000e+001	        0.124085	      0.09719361
2.2500000000000e+001	       0.1147441	      0.09687416
2.3750000000000e+001	      0.09208801	      0.09687168
2.5000000000000e+001	      0.07685331	      0.09941033
2.6250000000000e+001	      0.04549215	        0.109171
2.7500000000000e+001	      0.04430949	       0.1121919
2.8750000000000e+001	      0.02429548	        0.112218
3.0000000000000e+001	      0.00404074	       0.1024448
3.1250000000000e+001	    -0.007730801	      0.09622812
3.2500000000000e+001	     -0.02934531	      0.08932167
3.3750000000000e+001	     -0.04654877	      0.07978671
3.5000000000000e+001	     -0.05717896	      0.07410309
3.6250000000000e+001	     -0.06633434	      0.06213489
3.7500000000000e+001	     -0.08005175	      0.04693383
3.8750000000000e+001	      -0.0939026	      0.03449284
4.0000000000000e+001	     -0.09705624	      0.01387444
4.1250000000000e+001	      -0.1075658	     0.004783465
4.2500000000000e+001	      -0.1128784	    -0.003634838
4.3750000000000e+001	      -0.1148044	     -0.01250108
4.5000000000000e+001	      -0.1062437	     -0.03072285
4.6250000000000e+001	      -0.1060751	     -0.02683585
4.7500000000000e+001	        -0.10747	     -0.03226325
4.8750000000000e+001	      -0.1070424	     -0.02730628
5.0000000000000e+001	      -0.1447134	     -0.02020832
5.1250000000000e+001	      -0.1398773	      -0.0106206
5.2500000000000e+001	      -0.1626085	    -0.001050007
5.3750000000000e+001	      -0.2065201	     0.008509381
5.5000000000000e+001	      -0.2648335	       0.0221219
5.6250000000000e+001	      -0.3708082	      0.04437628
5.7500000000000e+001	      -0.5628604	       0.1018781
5.8750000000000e+001	      -0.9946166	       0.3122123
6.0000000000000e+001	       -2.014497	         2.10393
6.1250000000000e+001	        2.189552	        1.053774
6.2500000000000e+001	        1.083202	       0.1889703
6.3750000000000e+001	       0.7525251	      0.07145578
6.5000000000000e+001	       0.5932884	      0.02884552
6.6250000000000e+001	       0.4938084	     0.007406543
6.7500000000000e+001	       0.4237263	      0.01514386
6.8750000000000e+001	        0.385401	     0.009940466
