Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -26.69769	               0
1.2500000000000e+000	      -0.4465136	        3.074434
2.5000000000000e+000	      -0.4916515	        1.435076
3.7500000000000e+000	      -0.5319117	        0.896615
5.0000000000000e+000	      -0.5871018	       0.6772316
6.2500000000000e+000	      -0.7139047	       0.8334972
7.5000000000000e+000	      -0.2191717	       0.2180304
8.7500000000000e+000	      -0.3823156	       0.1615474
1.0000000000000e+001	      -0.4124838	       0.1046331
1.1250000000000e+001	      -0.4241597	      0.06076819
1.2500000000000e+001	      -0.4106685	     0.003121526
1.3750000000000e+001	      -0.3895003	     -0.04676848
1.5000000000000e+001	      -0.3527924	       -0.106953
1.6250000000000e+001	      -0.3227071	      -0.1399796
1.7500000000000e+001	      -0.2829503	      -0.1782959
1.8750000000000e+001	      -0.2391774	      -0.2069204
2.0000000000000e+001	      -0.2046109	      -0.2307061
2.1250000000000e+001	      -0.1725272	      -0.2387344
2.2500000000000e+001	      -0.1381462	      -0.2501406
2.3750000000000e+001	     -0.09964719	       -0.250949
2.5000000000000e+001	     -0.07784329	      -0.2534859
2.6250000000000e+001	     -0.06831387	      -0.2506123
2.7500000000000e+001	     -0.04949351	      -0.2401086
2.8750000000000e+001	      -0.1112394	      -0.2234749
3.0000000000000e+001	        0.210682	       0.3720259
3.1250000000000e+001	       0.1928843	       -0.160718
3.2500000000000e+001	       0.1792955	      -0.1765415
3.3750000000000e+001	       0.1928695	      -0.1754595
3.5000000000000e+001	       0.1963862	      -0.1636621
3.6250000000000e+001	       0.2210053	      -0.1484193
3.7500000000000e+001	        0.245065	      -0.1364776
3.8750000000000e+001	       0.2487297	      -0.1172712
4.0000000000000e+001	       0.2529337	      -0.0861844
4.1250000000000e+001	       0.2611153	     -0.06040726
4.2500000000000e+001	        0.257607	     -0.03667474
4.3750000000000e+001	       0.2515273	     -0.01699225
4.5000000000000e+001	       0.2502205	      0.00795349
4.6250000000000e+001	       0.2490523	      0.02875219
4.7500000000000e+001	       0.2455798	      0.03900067
4.8750000000000e+001	       0.2564961	      0.05433954
5.0000000000000e+001	       0.2776614	      0.02254157
5.1250000000000e+001	       0.2372731	      0.04494741
5.2500000000000e+001	       0.2571812	      0.06921913
5.3750000000000e+001	       0.2904641	      0.06872742
5.5000000000000e+001	       0.3480382	      0.07137887
5.6250000000000e+001	       0.4492825	      0.05537127
5.7500000000000e+001	        0.641612	    -0.006979613
5.8750000000000e+001	        1.065949	      -0.2118984
6.0000000000000e+001	        2.142037	       -1.945091
6.1250000000000e+001	       -2.290989	       -1.037253
6.2500000000000e+001	       -1.093718	      -0.1057974
6.3750000000000e+001	      -0.7509368	     0.005524155
6.5000000000000e+001	      -0.5971668	      0.04464081
6.6250000000000e+001	      -0.4917999	      0.06113693
6.7500000000000e+001	      -0.4358509	      0.02212892
6.8750000000000e+001	      -0.3966328	      0.03544306
