Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        181.2366	               0
1.2500000000000e+000	        1.872268	       -13.69595
2.5000000000000e+000	        2.528541	        -6.17215
3.7500000000000e+000	        2.637836	       -3.686208
5.0000000000000e+000	        2.623458	       -2.332083
6.2500000000000e+000	        2.478017	       -1.381984
7.5000000000000e+000	        2.671592	      -0.7459321
8.7500000000000e+000	        2.537313	      -0.2585951
1.0000000000000e+001	        2.445271	       0.1323985
1.1250000000000e+001	        2.329936	       0.4765313
1.2500000000000e+001	        2.221205	       0.7468812
1.3750000000000e+001	         2.09865	       0.9471909
1.5000000000000e+001	         1.94497	        1.084239
1.6250000000000e+001	         1.77789	        1.195627
1.7500000000000e+001	        1.585635	        1.276924
1.8750000000000e+001	        1.379749	        1.305838
2.0000000000000e+001	        1.161277	        1.333679
2.1250000000000e+001	       0.9274375	        1.330094
2.2500000000000e+001	       0.6995484	        1.317146
2.3750000000000e+001	       0.4705719	        1.283457
2.5000000000000e+001	       0.2679501	        1.234725
2.6250000000000e+001	      0.07592235	        1.164538
2.7500000000000e+001	     -0.09822385	        1.085302
2.8750000000000e+001	      -0.2564982	       0.9836029
3.0000000000000e+001	      -0.3914049	        0.872372
3.1250000000000e+001	      -0.4921869	       0.7623856
3.2500000000000e+001	      -0.5926155	       0.6382419
3.3750000000000e+001	      -0.6630648	       0.5271305
3.5000000000000e+001	       -0.714744	       0.4042884
3.6250000000000e+001	      -0.7684159	       0.2815976
3.7500000000000e+001	      -0.8052132	       0.1650789
3.8750000000000e+001	      -0.8210579	      0.04895233
4.0000000000000e+001	      -0.8297787	     -0.04546031
4.1250000000000e+001	      -0.8304715	      -0.1637935
4.2500000000000e+001	      -0.8235916	       -0.255789
4.3750000000000e+001	      -0.7949871	      -0.3423132
4.5000000000000e+001	      -0.7537781	      -0.4357007
4.6250000000000e+001	         -0.7006	       -0.515385
4.7500000000000e+001	      -0.6469632	      -0.5771091
4.8750000000000e+001	      -0.5809686	       -0.615361
5.0000000000000e+001	      -0.4200056	       -0.654473
5.1250000000000e+001	      -0.4487559	      -0.6860111
5.2500000000000e+001	      -0.4023913	      -0.6663669
5.3750000000000e+001	      -0.4159939	      -0.6212475
5.5000000000000e+001	       -0.469636	      -0.5529839
5.6250000000000e+001	      -0.6576776	      -0.4316948
5.7500000000000e+001	       -1.142425	      -0.1634498
5.8750000000000e+001	       -2.572102	       0.8006647
6.0000000000000e+001	      -0.7585797	        10.86274
6.1250000000000e+001	         4.42967	       0.4307448
6.2500000000000e+001	        2.597477	      -0.2877924
6.3750000000000e+001	        1.944184	      -0.4094262
6.5000000000000e+001	        1.650573	      -0.4422789
6.6250000000000e+001	        1.444335	      -0.4324764
6.7500000000000e+001	        1.339189	      -0.3276711
6.8750000000000e+001	        1.263621	      -0.2585374
7.0000000000000e+001	        1.200976	      -0.1837121
