Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        299.8451	               0
1.2500000000000e+000	        4.118336	       -26.61619
2.5000000000000e+000	        5.244781	       -12.17284
3.7500000000000e+000	        5.343035	       -7.254758
5.0000000000000e+000	        5.442919	        -4.60723
6.2500000000000e+000	        5.449814	       -2.952766
7.5000000000000e+000	        5.292933	       -1.767533
8.7500000000000e+000	        5.173988	      -0.8743901
1.0000000000000e+001	        4.965151	      -0.1718543
1.1250000000000e+001	        4.719433	       0.3757097
1.2500000000000e+001	        4.418674	       0.7763675
1.3750000000000e+001	         4.07304	        1.099831
1.5000000000000e+001	        3.664125	        1.336364
1.6250000000000e+001	        3.234677	        1.591209
1.7500000000000e+001	        2.800698	        1.822856
1.8750000000000e+001	        2.345906	        2.042755
2.0000000000000e+001	        1.977307	        2.243232
2.1250000000000e+001	        1.584108	        2.411133
2.2500000000000e+001	        1.209608	          2.5175
2.3750000000000e+001	       0.8661796	        2.628437
2.5000000000000e+001	       0.5555193	        2.676708
2.6250000000000e+001	       0.2672238	        2.662599
2.7500000000000e+001	      0.03586636	        2.585913
2.8750000000000e+001	      -0.1700287	        2.462535
3.0000000000000e+001	       -0.347475	        2.313622
3.1250000000000e+001	      -0.4705158	        2.150628
3.2500000000000e+001	      -0.6416909	        1.941889
3.3750000000000e+001	      -0.7711569	        1.732515
3.5000000000000e+001	      -0.9062036	        1.523618
3.6250000000000e+001	       -1.009491	        1.304739
3.7500000000000e+001	       -1.097935	        1.068527
3.8750000000000e+001	       -1.163911	       0.8233807
4.0000000000000e+001	       -1.223282	       0.5945318
4.1250000000000e+001	       -1.232673	        0.385721
4.2500000000000e+001	        -1.21176	       0.1692689
4.3750000000000e+001	       -1.192209	     -0.02663943
4.5000000000000e+001	       -1.140732	      -0.1957686
4.6250000000000e+001	        -1.07618	      -0.3480267
4.7500000000000e+001	       -1.005646	      -0.4788964
4.8750000000000e+001	       -0.930007	      -0.5800684
5.0000000000000e+001	      -0.8820829	      -0.6785845
5.1250000000000e+001	      -0.8180592	      -0.7191871
5.2500000000000e+001	      -0.7807066	      -0.7658139
5.3750000000000e+001	      -0.8026753	      -0.7703754
5.5000000000000e+001	      -0.8547438	       -0.745947
5.6250000000000e+001	       -1.016053	      -0.6658839
5.7500000000000e+001	       -1.442284	      -0.4630441
5.8750000000000e+001	       -2.608877	       0.3767752
6.0000000000000e+001	       -2.303027	        8.625991
6.1250000000000e+001	        4.288867	       0.2682547
6.2500000000000e+001	        2.530906	       -0.422103
6.3750000000000e+001	        2.003785	      -0.4406694
6.5000000000000e+001	        1.753907	      -0.3965814
6.6250000000000e+001	        1.592187	      -0.3362649
6.7500000000000e+001	        1.472048	      -0.1933889
6.8750000000000e+001	        1.408702	     -0.09189525
7.0000000000000e+001	          1.3567	     0.005731527
7.1250000000000e+001	        1.291009	      0.08436564
