Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -107.3904	               0
1.2500000000000e+000	        -1.31792	        9.251654
2.5000000000000e+000	        -1.80103	         4.23592
3.7500000000000e+000	       -1.903715	        2.569543
5.0000000000000e+000	       -1.947881	        1.666043
6.2500000000000e+000	        -2.04719	        1.069712
7.5000000000000e+000	       -1.805656	       0.7153357
8.7500000000000e+000	       -1.809874	       0.3206621
1.0000000000000e+001	       -1.731993	      0.02046694
1.1250000000000e+001	       -1.643664	      -0.2101958
1.2500000000000e+001	       -1.539661	      -0.3801153
1.3750000000000e+001	       -1.431418	      -0.5039837
1.5000000000000e+001	       -1.317143	      -0.5920897
1.6250000000000e+001	       -1.202492	      -0.6587469
1.7500000000000e+001	       -1.110583	      -0.6949447
1.8750000000000e+001	      -0.9741924	       -0.717216
2.0000000000000e+001	      -0.8437438	      -0.7368371
2.1250000000000e+001	      -0.6784729	      -0.7433978
2.2500000000000e+001	      -0.5171027	      -0.7538523
2.3750000000000e+001	      -0.3708436	      -0.7376295
2.5000000000000e+001	      -0.2222918	      -0.7129838
2.6250000000000e+001	     -0.08654588	      -0.6940001
2.7500000000000e+001	      0.01578481	      -0.6534588
2.8750000000000e+001	      0.08771124	      -0.5903865
3.0000000000000e+001	     -0.07112867	      -0.3142681
3.1250000000000e+001	       0.7424632	      -0.4855674
3.2500000000000e+001	       0.6775153	      -0.4937084
3.3750000000000e+001	        0.713038	      -0.4574009
3.5000000000000e+001	       0.7468165	      -0.4137788
3.6250000000000e+001	         0.74935	       -0.364643
3.7500000000000e+001	       0.7042516	      -0.3183072
3.8750000000000e+001	       0.6591388	      -0.2682106
4.0000000000000e+001	       0.6047821	      -0.2226383
4.1250000000000e+001	       0.5551318	      -0.1725966
4.2500000000000e+001	       0.5223663	      -0.1040123
4.3750000000000e+001	       0.5033142	     -0.05123191
4.5000000000000e+001	       0.4743982	      0.01044256
4.6250000000000e+001	       0.4597489	      0.06219631
4.7500000000000e+001	       0.4368545	       0.1161164
4.8750000000000e+001	       0.4090874	        0.159605
5.0000000000000e+001	       0.4183799	        0.207907
5.1250000000000e+001	       0.3746555	       0.2337186
5.2500000000000e+001	       0.3531199	       0.2395702
5.3750000000000e+001	       0.3422771	       0.2449671
5.5000000000000e+001	       0.3435798	       0.2432719
5.6250000000000e+001	       0.3803132	       0.2174885
5.7500000000000e+001	       0.5024461	       0.1589994
5.8750000000000e+001	       0.8371647	     -0.04740718
6.0000000000000e+001	        1.719059	       -1.651721
6.1250000000000e+001	       -2.230253	      -0.7865332
6.2500000000000e+001	       -1.190049	       0.0303928
6.3750000000000e+001	      -0.9038425	       0.1034317
6.5000000000000e+001	      -0.7666772	       0.1229102
6.6250000000000e+001	       -0.675527	       0.1148787
6.7500000000000e+001	      -0.6016053	      0.08008249
6.8750000000000e+001	      -0.5624999	      0.05553106
