Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        50.56215	               0
1.2500000000000e+000	       0.3159292	       -3.654008
2.5000000000000e+000	       0.5699897	       -1.639135
3.7500000000000e+000	       0.6028847	      -0.9955354
5.0000000000000e+000	       0.5885916	      -0.6254141
6.2500000000000e+000	       0.4700762	      -0.3815049
7.5000000000000e+000	       0.6724593	      -0.1972598
8.7500000000000e+000	       0.6169538	      -0.1038922
1.0000000000000e+001	       0.5734379	     -0.02427126
1.1250000000000e+001	       0.5109379	      0.04053846
1.2500000000000e+001	       0.4735067	      0.09746262
1.3750000000000e+001	       0.4328389	       0.1291326
1.5000000000000e+001	       0.3940487	       0.1595143
1.6250000000000e+001	       0.3602815	       0.1801691
1.7500000000000e+001	       0.3231255	       0.1873785
1.8750000000000e+001	       0.2816771	       0.2196657
2.0000000000000e+001	        0.239581	       0.2234756
2.1250000000000e+001	       0.2015362	       0.2427449
2.2500000000000e+001	       0.1531399	       0.2536803
2.3750000000000e+001	       0.1138649	       0.2474747
2.5000000000000e+001	      0.06557058	       0.2482062
2.6250000000000e+001	       0.0326416	       0.2451216
2.7500000000000e+001	   -0.0001344325	        0.234369
2.8750000000000e+001	     -0.03383585	       0.2194074
3.0000000000000e+001	     -0.04995346	       0.1953748
3.1250000000000e+001	     -0.07810358	       0.1708778
3.2500000000000e+001	     -0.09559878	       0.1510212
3.3750000000000e+001	      -0.1079902	        0.127387
3.5000000000000e+001	      -0.1088269	       0.1166843
3.6250000000000e+001	      -0.1058112	      0.08577856
3.7500000000000e+001	      -0.1102169	      0.07451436
3.8750000000000e+001	      -0.1095596	      0.05858357
4.0000000000000e+001	      -0.1018521	      0.04249288
4.1250000000000e+001	      -0.1015005	      0.02419946
4.2500000000000e+001	      -0.0869666	    0.0009879898
4.3750000000000e+001	     -0.08681144	     -0.01551581
4.5000000000000e+001	     -0.07240308	     -0.03970497
4.6250000000000e+001	     -0.05561222	     -0.05608805
4.7500000000000e+001	     -0.04731994	     -0.07075957
4.8750000000000e+001	     -0.02566643	      -0.0910097
5.0000000000000e+001	     -0.01508715	       -0.034828
5.1250000000000e+001	      0.05292371	     -0.09863093
5.2500000000000e+001	      0.07372784	      -0.1148318
5.3750000000000e+001	       0.1097151	      -0.1247339
5.5000000000000e+001	       0.1380449	      -0.1337423
5.6250000000000e+001	       0.1985679	      -0.1378269
5.7500000000000e+001	       0.2958429	      -0.1676301
5.8750000000000e+001	       0.4994057	      -0.2528716
6.0000000000000e+001	       0.9956465	      -0.9855404
6.1250000000000e+001	       -1.008485	      -0.6662352
6.2500000000000e+001	      -0.4346255	      -0.1987195
6.3750000000000e+001	      -0.2618516	      -0.1330491
6.5000000000000e+001	      -0.1752674	     -0.09724628
6.6250000000000e+001	      -0.1095283	     -0.07811851
6.7500000000000e+001	     -0.06257354	     -0.05858539
