Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -66.71027	               0
1.2500000000000e+000	       -1.364597	        6.828872
2.5000000000000e+000	        -1.20611	          3.2318
3.7500000000000e+000	       -1.211812	        2.105958
5.0000000000000e+000	       -1.307454	        1.491953
6.2500000000000e+000	       -1.430925	        1.184755
7.5000000000000e+000	       -1.105208	       0.8602614
8.7500000000000e+000	       -1.200246	       0.6201281
1.0000000000000e+001	       -1.219616	       0.4495003
1.1250000000000e+001	       -1.202801	       0.2735682
1.2500000000000e+001	       -1.134403	       0.1172737
1.3750000000000e+001	       -1.054418	     -0.01510588
1.5000000000000e+001	      -0.9496149	      -0.1244416
1.6250000000000e+001	      -0.8553616	      -0.2181633
1.7500000000000e+001	      -0.7331617	      -0.3160148
1.8750000000000e+001	       -0.642529	      -0.3625384
2.0000000000000e+001	      -0.5371389	      -0.4378259
2.1250000000000e+001	      -0.4678933	      -0.4669673
2.2500000000000e+001	      -0.3770746	      -0.5083615
2.3750000000000e+001	      -0.2898988	      -0.5217008
2.5000000000000e+001	      -0.2034223	      -0.5383165
2.6250000000000e+001	      -0.1232885	      -0.5240118
2.7500000000000e+001	     -0.02888196	      -0.4982764
2.8750000000000e+001	      0.06360682	      -0.4594357
3.0000000000000e+001	       0.2332071	      -0.4307707
3.1250000000000e+001	      0.06288586	      -0.4962943
3.2500000000000e+001	       0.1703353	      -0.3803486
3.3750000000000e+001	       0.2319489	      -0.3130496
3.5000000000000e+001	       0.2800255	      -0.2488506
3.6250000000000e+001	        0.304064	      -0.1914481
3.7500000000000e+001	       0.3258192	      -0.1515263
3.8750000000000e+001	        0.331786	     -0.09572709
4.0000000000000e+001	       0.3403331	     -0.05434053
4.1250000000000e+001	       0.3399181	      -0.0309663
4.2500000000000e+001	       0.3339771	     0.006142662
4.3750000000000e+001	       0.3192475	      0.03221146
4.5000000000000e+001	       0.3072093	      0.06057571
4.6250000000000e+001	       0.2992802	      0.08863578
4.7500000000000e+001	       0.2826971	       0.1140489
4.8750000000000e+001	          0.2793	       0.1222028
5.0000000000000e+001	        0.272639	       0.1530265
5.1250000000000e+001	        0.273252	       0.1593379
5.2500000000000e+001	       0.2595604	        0.172332
5.3750000000000e+001	       0.2799559	       0.1772965
5.5000000000000e+001	       0.2968819	       0.1737059
5.6250000000000e+001	       0.3521992	       0.1579299
5.7500000000000e+001	       0.4800589	       0.1143408
5.8750000000000e+001	        0.789559	     -0.03974965
6.0000000000000e+001	        1.707996	        -1.35783
6.1250000000000e+001	         -1.8471	      -0.8808187
6.2500000000000e+001	        -0.95658	     -0.08858228
6.3750000000000e+001	      -0.6846191	     0.004127101
6.5000000000000e+001	       -0.571422	      0.02253943
6.6250000000000e+001	      -0.4881882	       0.0204174
6.7500000000000e+001	      -0.4350352	    -0.001469398
6.8750000000000e+001	      -0.4212186	     -0.01821685
