Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        119.7013	               0
1.2500000000000e+000	        1.544859	       -9.125553
2.5000000000000e+000	         1.96995	       -4.036416
3.7500000000000e+000	        2.026901	       -2.343626
5.0000000000000e+000	        2.022763	       -1.423817
6.2500000000000e+000	        1.904745	      -0.8229996
7.5000000000000e+000	        1.973075	      -0.3742265
8.7500000000000e+000	        1.881762	     -0.09709762
1.0000000000000e+001	        1.797934	       0.0895859
1.1250000000000e+001	        1.695064	       0.2341386
1.2500000000000e+001	        1.564752	        0.372624
1.3750000000000e+001	        1.425457	       0.5136396
1.5000000000000e+001	        1.249756	       0.6389101
1.6250000000000e+001	        1.074939	       0.7537549
1.7500000000000e+001	       0.8935601	          0.8646
1.8750000000000e+001	       0.7123905	       0.9300497
2.0000000000000e+001	       0.5552649	       0.9859039
2.1250000000000e+001	       0.4121465	        1.015841
2.2500000000000e+001	       0.2507369	        1.018424
2.3750000000000e+001	       0.1250415	        1.015595
2.5000000000000e+001	     -0.02225169	       0.9932003
2.6250000000000e+001	      -0.1448778	       0.9702009
2.7500000000000e+001	      -0.2841406	       0.9341304
2.8750000000000e+001	      -0.3994293	       0.8890816
3.0000000000000e+001	      -0.5113088	       0.8444834
3.1250000000000e+001	      -0.5825318	        0.815348
3.2500000000000e+001	      -0.6168851	       0.7243845
3.3750000000000e+001	      -0.6393687	       0.6405567
3.5000000000000e+001	      -0.6436132	       0.5288103
3.6250000000000e+001	      -0.6349412	       0.4058041
3.7500000000000e+001	      -0.6319233	       0.2871334
3.8750000000000e+001	      -0.6264868	       0.1716515
4.0000000000000e+001	      -0.6129167	      0.05954802
4.1250000000000e+001	      -0.5980628	      -0.0307505
4.2500000000000e+001	       -0.566609	      -0.1238312
4.3750000000000e+001	      -0.5385637	      -0.1909166
4.5000000000000e+001	      -0.5000498	      -0.2516216
4.6250000000000e+001	      -0.4658649	      -0.3015292
4.7500000000000e+001	      -0.4366567	       -0.336947
4.8750000000000e+001	      -0.4122607	      -0.3623106
5.0000000000000e+001	      -0.3937807	      -0.3485579
5.1250000000000e+001	      -0.3708044	      -0.3716995
5.2500000000000e+001	      -0.3700014	      -0.3651603
5.3750000000000e+001	      -0.4150292	      -0.3228705
5.5000000000000e+001	      -0.4911877	      -0.2715582
5.6250000000000e+001	      -0.6890525	      -0.1570972
5.7500000000000e+001	       -1.133053	      0.08009926
5.8750000000000e+001	       -2.337217	       0.9098432
6.0000000000000e+001	       -2.671346	        9.008227
6.1250000000000e+001	        4.705989	       0.6649066
6.2500000000000e+001	        2.641521	      -0.1083544
6.3750000000000e+001	        2.005882	      -0.1732658
6.5000000000000e+001	        1.694277	      -0.1849667
6.6250000000000e+001	        1.502914	      -0.1612319
6.7500000000000e+001	        1.362684	     -0.05682296
6.8750000000000e+001	         1.28822	      0.01858789
7.0000000000000e+001	        1.234784	       0.1122911
