Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	       -27.85615	               0
1.2500000000000e+000	      -0.5863418	        3.651267
2.5000000000000e+000	      -0.5816089	        1.664169
3.7500000000000e+000	      -0.5792598	        1.021519
5.0000000000000e+000	      -0.5682023	       0.6911486
6.2500000000000e+000	      -0.5567098	       0.4897149
7.5000000000000e+000	      -0.5374848	       0.3440839
8.7500000000000e+000	      -0.5185637	       0.2386614
1.0000000000000e+001	      -0.4866562	       0.1605278
1.1250000000000e+001	      -0.4550569	      0.08855584
1.2500000000000e+001	      -0.4232796	      0.03150581
1.3750000000000e+001	      -0.3863801	     -0.01724477
1.5000000000000e+001	      -0.3502766	     -0.05773982
1.6250000000000e+001	      -0.3119659	      -0.1010268
1.7500000000000e+001	      -0.2795283	       -0.131516
1.8750000000000e+001	      -0.2441144	      -0.1548569
2.0000000000000e+001	       -0.206848	      -0.1723963
2.1250000000000e+001	      -0.1776101	      -0.1875353
2.2500000000000e+001	      -0.1431744	      -0.1924125
2.3750000000000e+001	      -0.1120519	      -0.1963252
2.5000000000000e+001	     -0.08461063	      -0.1976556
2.6250000000000e+001	     -0.05417746	      -0.1927092
2.7500000000000e+001	      -0.0279044	      -0.1821272
2.8750000000000e+001	   -0.0001672762	      -0.1766094
3.0000000000000e+001	      0.02203889	      -0.1626045
3.1250000000000e+001	      0.04955065	      -0.1469392
3.2500000000000e+001	      0.06903429	      -0.1307282
3.3750000000000e+001	      0.08670487	      -0.1171215
3.5000000000000e+001	        0.100915	      -0.1012334
3.6250000000000e+001	       0.1106447	     -0.08295789
3.7500000000000e+001	       0.1160667	      -0.0648746
3.8750000000000e+001	       0.1218342	     -0.04614323
4.0000000000000e+001	       0.1232813	     -0.02798623
4.1250000000000e+001	       0.1222588	     -0.01162497
4.2500000000000e+001	        0.116434	     0.004372214
4.3750000000000e+001	       0.1121276	      0.01930791
4.5000000000000e+001	       0.1038363	      0.03516462
4.6250000000000e+001	      0.09452137	       0.0486128
4.7500000000000e+001	      0.08324709	      0.05874686
4.8750000000000e+001	      0.07126182	      0.06861155
5.0000000000000e+001	       0.0615345	      0.07755781
5.1250000000000e+001	      0.04559172	      0.08250128
5.2500000000000e+001	      0.03507848	      0.08593415
5.3750000000000e+001	      0.02506267	      0.08804121
5.5000000000000e+001	      0.01853046	      0.08618672
5.6250000000000e+001	      0.01460964	      0.08299787
5.7500000000000e+001	      0.02186732	      0.07609843
5.8750000000000e+001	      0.04925403	      0.05546854
6.0000000000000e+001	       0.1303427	     -0.08957511
6.1250000000000e+001	      -0.2502198	     -0.03034616
6.2500000000000e+001	      -0.1455799	      0.04856422
6.3750000000000e+001	      -0.1189522	      0.04860545
6.5000000000000e+001	      -0.1079624	      0.04025201
6.6250000000000e+001	      -0.1019558	       0.0322441
6.7500000000000e+001	     -0.09601166	      0.02027176
