Units: Ratio
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real	 Imaginary

Units:
Hz	V / V	 
0.0000000000000e+000	        168.6558	               0
1.2500000000000e+000	        3.698321	       -20.88364
2.5000000000000e+000	        3.925257	       -9.384013
3.7500000000000e+000	        4.043477	       -5.722015
5.0000000000000e+000	        4.047002	       -3.785669
6.2500000000000e+000	        4.040577	       -2.525386
7.5000000000000e+000	        4.090928	       -1.699756
8.7500000000000e+000	        4.078461	       -1.116742
1.0000000000000e+001	        4.015315	      -0.6775668
1.1250000000000e+001	        3.860676	      -0.3483326
1.2500000000000e+001	        3.615736	     -0.04455134
1.3750000000000e+001	        3.313179	        0.223811
1.5000000000000e+001	        2.969228	       0.4828462
1.6250000000000e+001	         2.59167	       0.7721612
1.7500000000000e+001	         2.24717	        1.009875
1.8750000000000e+001	        1.890234	        1.228538
2.0000000000000e+001	        1.573839	        1.432946
2.1250000000000e+001	        1.265414	        1.579061
2.2500000000000e+001	       0.9626215	        1.706734
2.3750000000000e+001	       0.7054821	        1.815108
2.5000000000000e+001	       0.4584276	        1.840805
2.6250000000000e+001	       0.2205035	        1.857847
2.7500000000000e+001	      0.04093314	        1.829384
2.8750000000000e+001	      -0.1496291	        1.744971
3.0000000000000e+001	      -0.3372947	        1.635684
3.1250000000000e+001	      -0.4217863	          1.5368
3.2500000000000e+001	       -0.580443	        1.382673
3.3750000000000e+001	      -0.7107019	        1.208393
3.5000000000000e+001	      -0.8469056	        1.052302
3.6250000000000e+001	      -0.9502699	       0.8844165
3.7500000000000e+001	       -1.063045	       0.7296941
3.8750000000000e+001	       -1.134994	       0.5700782
4.0000000000000e+001	       -1.178258	       0.4099857
4.1250000000000e+001	       -1.202138	       0.2478814
4.2500000000000e+001	       -1.198457	       0.0858681
4.3750000000000e+001	       -1.172822	     -0.04292949
4.5000000000000e+001	       -1.118155	      -0.1826488
4.6250000000000e+001	       -1.063877	      -0.2938844
4.7500000000000e+001	      -0.9899794	      -0.3890374
4.8750000000000e+001	      -0.9279354	      -0.4705991
5.0000000000000e+001	      -0.8821738	       -0.486679
5.1250000000000e+001	      -0.7993133	      -0.5815576
5.2500000000000e+001	       -0.775616	      -0.6218501
5.3750000000000e+001	      -0.7915583	      -0.6254805
5.5000000000000e+001	      -0.8499739	      -0.6084676
5.6250000000000e+001	        -1.04887	      -0.5432447
5.7500000000000e+001	       -1.524014	      -0.3348043
5.8750000000000e+001	       -2.871909	        0.595284
6.0000000000000e+001	      -0.1383172	        10.29564
6.1250000000000e+001	        4.015335	      0.06002395
6.2500000000000e+001	        2.427954	      -0.5517873
6.3750000000000e+001	        1.920931	      -0.5941274
6.5000000000000e+001	        1.667294	      -0.5931529
6.6250000000000e+001	         1.47633	      -0.5012622
6.7500000000000e+001	        1.365941	      -0.3860107
6.8750000000000e+001	        1.278136	      -0.2546493
7.0000000000000e+001	        1.211384	       -0.157449
7.1250000000000e+001	        1.141139	     -0.04368177
